time,queueLength
1652090544,L1: Within kitchen
1652091929,L0: Virtually empty
1652091955,L0: Virtually empty
1652092401,L0: Virtually empty
1652093004,L1: Within kitchen
1652093012,L3: Within first room
1652095403,L0: Virtually empty
1652124577,L0: Virtually empty
1652125194,L0: Virtually empty
1652127964,L8: Even longer
1652127975,L0: Virtually empty
1652129535,L0: Virtually empty
1652130106,L0: Virtually empty
1652135810,L0: Virtually empty
1652158785,L0: Virtually empty
1652175610,L0: Virtually empty
1652175871,L5: Past first desk
1652175950,L7: Up to stairs
1652177032,L7: Up to stairs
1652177100,L6: Past second desk
1652177153,L7: Up to stairs
1652177190,L7: Up to stairs
1652177245,L6: Past second desk
1652177674,L6: Past second desk
1652177734,L6: Past second desk
1652177736,L6: Past second desk
1652177834,L5: Past first desk
1652177921,L6: Past second desk
1652178227,L4: Starting to corner
1652178240,L0: Virtually empty
1652178512,L5: Past first desk
1652178544,L4: Starting to corner
1652178656,L8: Even longer
1652178737,L3: Within first room
1652178793,L4: Starting to corner
1652178832,L4: Starting to corner
1652178845,L4: Starting to corner
1652178854,L4: Starting to corner
1652178857,L4: Starting to corner
1652178861,L4: Starting to corner
1652178871,L4: Starting to corner
1652178872,L4: Starting to corner
1652178873,L4: Starting to corner
1652178873,L4: Starting to corner
1652178873,L4: Starting to corner
1652178873,L4: Starting to corner
1652178873,L4: Starting to corner
1652178874,L4: Starting to corner
1652178874,L4: Starting to corner
1652178874,L4: Starting to corner
1652178875,L4: Starting to corner
1652178875,L4: Starting to corner
1652178875,L4: Starting to corner
1652178875,L4: Starting to corner
1652178876,L4: Starting to corner
1652178876,L4: Starting to corner
1652178876,L4: Starting to corner
1652178876,L4: Starting to corner
1652178876,L4: Starting to corner
1652178876,L4: Starting to corner
1652178877,L4: Starting to corner
1652178877,L4: Starting to corner
1652178877,L4: Starting to corner
1652178877,L4: Starting to corner
1652178878,L4: Starting to corner
1652178893,L5: Past first desk
1652178910,L4: Starting to corner
1652178994,L5: Past first desk
1652179021,L5: Past first desk
1652179036,L5: Past first desk
1652179060,L4: Starting to corner
1652179094,L4: Starting to corner
1652179155,L8: Even longer
1652179155,L8: Even longer
1652179155,L8: Even longer
1652179166,L4: Starting to corner
1652179166,L4: Starting to corner
1652179180,L0: Virtually empty
